Time: 2024-12-19 16:07:49.050991 	                 Trial: 0 	                 Objective value: 54.5796353037 	                 Parameters: {'F2': '97410.2966608272', 'F4': '67883.8475964036', 'F6': '54021.1886154994', 'Zeta': '2373.9693656004', 'Alpha': '17.9003053521', 'Beta': '-506.9923230443', 'T3': '47.1860133675', 'T4': '79.4674720564', 'T6': '-237.7022802886', 'T7': '347.4906083092', 'T8': '324.3515117668', 'M0': '3.5313139673', 'P2': '574.8066653584', 'B02': '-245.6535236260', 'B04': '426.9487004977', 'B06': '308.5243825116', 'B22': '-89.6522686857', 'B24': '335.1129416648', 'B44': '490.6301191302', 'B26': '-450.2772361974', 'B46': '-230.7979892249', 'B66': '-513.1963399719'} 	                 Best trial: 0 	                 Best objective value: 54.5796353037 
Time: 2024-12-19 16:07:49.178157 	                 Trial: 1 	                 Objective value: 50.1645656107 	                 Parameters: {'F2': '97432.6770148943', 'F4': '67916.0477048060', 'F6': '54019.7893542838', 'Zeta': '2375.7124260287', 'Alpha': '15.4045007705', 'Beta': '-534.7923761640', 'T3': '44.3328817052', 'T4': '78.4261169843', 'T6': '-234.2583173498', 'T7': '271.4095841271', 'T8': '316.3116219830', 'M0': '3.9336057845', 'P2': '599.7332090101', 'B02': '-283.4600281047', 'B04': '402.2916456423', 'B06': '382.0470416683', 'B22': '-72.7376049229', 'B24': '259.0257264990', 'B44': '429.0469819269', 'B26': '-484.9339922121', 'B46': '-294.2480032800', 'B66': '-570.3463924788'} 	                 Best trial: 1 	                 Best objective value: 50.1645656107 
Time: 2024-12-19 16:07:49.298315 	                 Trial: 2 	                 Objective value: 61.8137550272 	                 Parameters: {'F2': '97435.6335193553', 'F4': '67918.8874854250', 'F6': '54030.6304658028', 'Zeta': '2373.7176423971', 'Alpha': '19.3981487101', 'Beta': '-500.0286624506', 'T3': '46.7629514405', 'T4': '71.8127026909', 'T6': '-238.9106525429', 'T7': '325.2546244912', 'T8': '289.3402102142', 'M0': '3.9404397906', 'P2': '644.1177345340', 'B02': '-227.0438023744', 'B04': '463.7901722385', 'B06': '341.9709263060', 'B22': '-55.0307623474', 'B24': '270.1347939045', 'B44': '466.7574470667', 'B26': '-516.9635933250', 'B46': '-212.3596698270', 'B66': '-594.7316381410'} 	                 Best trial: 1 	                 Best objective value: 50.1645656107 
Time: 2024-12-19 16:07:49.426530 	                 Trial: 3 	                 Objective value: 59.2296185224 	                 Parameters: {'F2': '97414.2922189698', 'F4': '67883.6931879221', 'F6': '53976.2553531079', 'Zeta': '2374.0182158217', 'Alpha': '19.3513004321', 'Beta': '-569.5586266623', 'T3': '49.5636597280', 'T4': '74.1552103331', 'T6': '-245.8910685849', 'T7': '276.6812746143', 'T8': '260.4127013830', 'M0': '3.6256582924', 'P2': '615.6644610858', 'B02': '-215.2125024078', 'B04': '438.0543511650', 'B06': '318.7582222004', 'B22': '-61.7363709365', 'B24': '289.7020598072', 'B44': '477.1551122908', 'B26': '-523.5963623585', 'B46': '-287.0760842172', 'B66': '-508.4989120464'} 	                 Best trial: 1 	                 Best objective value: 50.1645656107 
Time: 2024-12-19 16:07:49.552584 	                 Trial: 4 	                 Objective value: 59.0040147624 	                 Parameters: {'F2': '97443.8137299892', 'F4': '67855.9872890952', 'F6': '54029.4649817003', 'Zeta': '2378.7587597683', 'Alpha': '15.1243694047', 'Beta': '-565.0809552153', 'T3': '44.8321874171', 'T4': '75.0087656619', 'T6': '-258.6563528988', 'T7': '339.6106662297', 'T8': '319.7452089244', 'M0': '3.6412274472', 'P2': '641.9672266435', 'B02': '-294.1857951148', 'B04': '496.5262338308', 'B06': '321.9564813179', 'B22': '-60.2554058121', 'B24': '312.2251410873', 'B44': '477.3025011505', 'B26': '-536.2335815326', 'B46': '-281.9751853190', 'B66': '-554.9904204473'} 	                 Best trial: 1 	                 Best objective value: 50.1645656107 
Time: 2024-12-19 16:07:49.683507 	                 Trial: 5 	                 Objective value: 34.3401772723 	                 Parameters: {'F2': '97460.2524995115', 'F4': '67949.0261109878', 'F6': '53982.5183459219', 'Zeta': '2379.1677397189', 'Alpha': '16.1582238501', 'Beta': '-508.4314329558', 'T3': '43.2752623295', 'T4': '77.4474716148', 'T6': '-207.8901055228', 'T7': '276.0115319567', 'T8': '321.5777279712', 'M0': '3.2848324912', 'P2': '640.0321390138', 'B02': '-276.4065190666', 'B04': '414.1277706360', 'B06': '332.8268805669', 'B22': '-74.9207721075', 'B24': '313.7121476878', 'B44': '420.6838282253', 'B26': '-519.7180026978', 'B46': '-276.7344517752', 'B66': '-541.6956861950'} 	                 Best trial: 5 	                 Best objective value: 34.3401772723 
Time: 2024-12-19 16:07:49.805743 	                 Trial: 6 	                 Objective value: 62.1343115712 	                 Parameters: {'F2': '97400.9111766298', 'F4': '67865.8440471645', 'F6': '53996.2575678232', 'Zeta': '2374.1346919301', 'Alpha': '17.9146110345', 'Beta': '-597.8229583519', 'T3': '44.7494664925', 'T4': '71.8674929883', 'T6': '-240.7606700148', 'T7': '348.1432062214', 'T8': '312.3661100390', 'M0': '3.1443156639', 'P2': '644.5894462557', 'B02': '-299.9147186263', 'B04': '409.3055736764', 'B06': '308.6687044948', 'B22': '-50.7661264071', 'B24': '269.0205158388', 'B44': '431.6866902993', 'B26': '-505.9889336051', 'B46': '-231.3195521506', 'B66': '-551.0933503511'} 	                 Best trial: 5 	                 Best objective value: 34.3401772723 
Time: 2024-12-19 16:07:49.933841 	                 Trial: 7 	                 Objective value: 39.8912451363 	                 Parameters: {'F2': '97495.1332737552', 'F4': '67915.7669467992', 'F6': '53986.8586822863', 'Zeta': '2371.1447408229', 'Alpha': '15.7984901883', 'Beta': '-557.0217502586', 'T3': '47.0873688507', 'T4': '72.3481446517', 'T6': '-250.0781697245', 'T7': '254.7881978863', 'T8': '335.6561989666', 'M0': '3.8945763844', 'P2': '573.7274608787', 'B02': '-209.4439606724', 'B04': '498.0255804261', 'B06': '337.0558333156', 'B22': '-54.4020029225', 'B24': '344.0496911272', 'B44': '426.4632939971', 'B26': '-470.1315734833', 'B46': '-225.8725184678', 'B66': '-506.9962608358'} 	                 Best trial: 5 	                 Best objective value: 34.3401772723 
Time: 2024-12-19 16:07:50.068403 	                 Trial: 8 	                 Objective value: 63.0281642644 	                 Parameters: {'F2': '97453.8426829901', 'F4': '67946.8141424459', 'F6': '54015.5623160601', 'Zeta': '2376.1116172575', 'Alpha': '19.0121273821', 'Beta': '-577.8216002489', 'T3': '46.7566179987', 'T4': '74.2692826494', 'T6': '-297.4779159066', 'T7': '323.5012913164', 'T8': '300.8419202338', 'M0': '3.0848963363', 'P2': '621.1021084371', 'B02': '-203.5012991090', 'B04': '461.9326813118', 'B06': '315.8713817735', 'B22': '-89.3464879140', 'B24': '265.2807582090', 'B44': '476.2163611815', 'B26': '-495.6301079968', 'B46': '-223.2789382867', 'B66': '-509.6813538062'} 	                 Best trial: 5 	                 Best objective value: 34.3401772723 
Time: 2024-12-19 16:07:50.209713 	                 Trial: 9 	                 Objective value: 47.2087913460 	                 Parameters: {'F2': '97449.7311934782', 'F4': '67933.1989989666', 'F6': '53988.0727126845', 'Zeta': '2374.3063584861', 'Alpha': '15.4809814891', 'Beta': '-540.6731505720', 'T3': '42.0680637338', 'T4': '73.4693961654', 'T6': '-298.2574880917', 'T7': '304.0934448532', 'T8': '349.1098230008', 'M0': '3.7617508852', 'P2': '646.2835968494', 'B02': '-272.7185094808', 'B04': '492.0617568567', 'B06': '374.4983834564', 'B22': '-60.6595293614', 'B24': '321.6411799852', 'B44': '455.1825416486', 'B26': '-532.8213042974', 'B46': '-246.8642963782', 'B66': '-585.8336279697'} 	                 Best trial: 5 	                 Best objective value: 34.3401772723 
Time: 2024-12-19 16:07:50.366442 	                 Trial: 10 	                 Objective value: 39.2444438035 	                 Parameters: {'F2': '97475.5484291347', 'F4': '67949.2237757089', 'F6': '53952.9875873698', 'Zeta': '2379.9814458755', 'Alpha': '16.6802977509', 'Beta': '-522.1583769266', 'T3': '40.5984126170', 'T4': '76.8237587371', 'T6': '-204.8836000578', 'T7': '291.8835630249', 'T8': '276.0729981310', 'M0': '3.2980009624', 'P2': '598.2048634536', 'B02': '-260.6193661830', 'B04': '422.3168533645', 'B06': '365.6447772052', 'B22': '-77.0573213623', 'B24': '296.2287307916', 'B44': '401.1314062251', 'B26': '-544.1000144810', 'B46': '-264.4956811960', 'B66': '-532.7513329455'} 	                 Best trial: 5 	                 Best objective value: 34.3401772723 
